dv,slcid,slid,bcid,phimod,sl_charge,nswseg_poseta,nswseg_posphi,nswseg_angdtheta
1,0,0,48,29,0,0,0,0
1,1,0,48,29,0,0,0,0
1,0,0,2198,-44,0,0,0,0
1,1,0,2198,-44,0,0,0,0
1,0,0,1598,23,0,0,0,0
1,0,0,1248,53,0,0,0,0
1,0,0,2348,-54,0,0,0,0
1,1,0,2348,-54,0,0,0,0
1,0,0,598,13,0,0,0,0
1,1,0,598,13,0,0,0,0
1,0,0,3398,-40,0,0,0,0
1,0,0,3198,-3,0,0,0,0
1,1,0,3198,-3,0,0,0,0
1,0,0,3198,3,0,0,0,0
1,0,0,598,42,0,0,0,0
1,0,0,2598,13,0,0,0,0
1,0,0,2848,-14,0,0,0,0
1,0,0,1598,59,0,0,0,0
1,0,0,3148,21,0,0,0,0
1,0,0,3548,-6,0,0,0,0
1,1,0,3548,-6,0,0,0,0
1,0,0,2048,-20,0,0,0,0
1,0,0,3548,-25,0,0,0,0
1,0,0,1898,-6,0,0,0,0
1,1,0,1898,-6,0,0,0,0
1,0,0,2148,49,0,0,0,0
1,1,0,2148,49,0,0,0,0
1,0,0,3298,55,0,0,0,0
1,1,0,3298,55,0,0,0,0
1,0,0,1098,-27,0,0,0,0
1,0,0,1498,-6,0,0,0,0
1,0,0,1948,-51,0,0,0,0
1,0,0,3348,23,0,0,0,0
1,0,0,248,49,0,0,0,0
1,0,0,3298,-36,0,0,0,0
1,1,0,3298,-36,0,0,0,0
1,0,0,3548,-32,0,0,0,0
1,0,0,2698,26,0,0,0,0
1,1,0,2698,26,0,0,0,0
1,0,0,48,-39,0,0,0,0
1,0,0,148,-9,0,0,0,0
1,0,0,2298,7,0,0,0,0
1,0,0,1398,45,0,0,0,0
1,1,0,1398,45,0,0,0,0
1,0,0,1598,35,0,0,0,0
1,1,0,1598,35,0,0,0,0
1,0,0,598,-54,0,0,0,0
1,1,0,598,-54,0,0,0,0
1,0,0,2198,-15,0,0,0,0
1,1,0,2198,-15,0,0,0,0
1,0,0,98,22,0,0,0,0
1,1,0,98,22,0,0,0,0
1,0,0,848,35,0,0,0,0
1,0,0,298,38,0,0,0,0
1,1,0,298,38,0,0,0,0
1,0,0,1948,-1,0,0,0,0
1,0,0,3248,5,0,0,0,0
1,0,0,3398,-10,0,0,0,0
1,1,0,3398,-10,0,0,0,0
1,0,0,1198,-2,0,0,0,0
1,0,0,2398,54,0,0,0,0
1,1,0,2398,54,0,0,0,0
1,0,0,2698,-7,0,0,0,0
1,1,0,2698,-7,0,0,0,0
1,0,0,248,-7,0,0,0,0
1,1,0,248,-7,0,0,0,0
1,0,0,2148,52,0,0,0,0
1,0,0,1948,-51,0,0,0,0
1,0,0,3248,-12,0,0,0,0
1,1,0,3248,-12,0,0,0,0
1,0,0,3548,-5,0,0,0,0
1,0,0,398,57,0,0,0,0
1,0,0,1298,-35,0,0,0,0
1,1,0,1298,-35,0,0,0,0
1,0,0,1848,3,0,0,0,0
1,0,0,2798,36,0,0,0,0
1,0,0,3548,41,0,0,0,0
1,1,0,3548,41,0,0,0,0
1,0,0,598,52,0,0,0,0
1,0,0,598,48,0,0,0,0
1,0,0,2398,38,0,0,0,0
1,0,0,2798,-28,0,0,0,0
1,0,0,2998,-16,0,0,0,0
1,0,0,2648,-60,0,0,0,0
1,1,0,2648,-60,0,0,0,0
1,0,0,1148,-22,0,0,0,0
1,1,0,1148,-22,0,0,0,0
1,0,0,1348,-38,0,0,0,0
1,0,0,348,-42,0,0,0,0
1,1,0,348,-42,0,0,0,0
1,0,0,1848,-29,0,0,0,0
1,1,0,1848,-29,0,0,0,0
1,0,0,2998,-26,0,0,0,0
1,0,0,3448,-55,0,0,0,0
1,0,0,2048,29,0,0,0,0
1,1,0,2048,29,0,0,0,0
1,0,0,548,17,0,0,0,0
1,0,0,798,-52,0,0,0,0
1,1,0,798,-52,0,0,0,0
1,0,0,1298,6,0,0,0,0
1,0,0,3298,53,0,0,0,0
1,1,0,3298,53,0,0,0,0
1,0,0,1148,-7,0,0,0,0
1,0,0,2148,53,0,0,0,0
1,0,0,2598,41,0,0,0,0
1,0,0,3548,15,0,0,0,0
1,1,0,3548,15,0,0,0,0
1,0,0,2098,-23,0,0,0,0
1,1,0,2098,-23,0,0,0,0
1,0,0,1348,-34,0,0,0,0
1,1,0,1348,-34,0,0,0,0
1,0,0,2648,4,0,0,0,0
1,0,0,898,-30,0,0,0,0
1,1,0,898,-30,0,0,0,0
1,0,0,2898,0,0,0,0,0
1,1,0,2898,0,0,0,0,0
1,0,0,3248,-59,0,0,0,0
1,1,0,3248,-59,0,0,0,0
1,0,0,1298,62,0,0,0,0
1,0,0,2248,-14,0,0,0,0
1,0,0,948,19,0,0,0,0
1,0,0,2248,23,0,0,0,0
1,1,0,2248,23,0,0,0,0
1,0,0,1048,18,0,0,0,0
1,0,0,2948,24,0,0,0,0
1,0,0,3548,17,0,0,0,0
1,1,0,3548,17,0,0,0,0
1,0,0,1098,-33,0,0,0,0
1,1,0,1098,-33,0,0,0,0
1,0,0,2448,17,0,0,0,0
1,1,0,2448,18,0,0,0,0
1,0,0,2098,-7,0,0,0,0
1,0,0,148,-47,0,0,0,0
1,0,0,1498,30,0,0,0,0
1,1,0,1498,31,0,0,0,0
1,0,0,2098,-28,0,0,0,0
1,1,0,2098,-28,0,0,0,0
1,0,0,1398,-23,0,0,0,0
1,1,0,1398,-23,0,0,0,0
1,0,0,3398,-43,0,0,0,0
1,0,0,2548,-10,0,0,0,0
1,1,0,2548,-10,0,0,0,0
1,0,0,3448,-27,0,0,0,0
1,1,0,3448,-27,0,0,0,0
1,0,0,648,-61,0,0,0,0
1,1,0,648,-61,0,0,0,0
1,0,0,2348,23,0,0,0,0
1,1,0,2348,23,0,0,0,0
1,0,0,2398,-53,0,0,0,0
1,1,0,2398,-53,0,0,0,0
1,0,0,1398,0,0,0,0,0
1,1,0,1398,0,0,0,0,0
1,0,0,1698,-41,0,0,0,0
1,1,0,1698,-41,0,0,0,0
1,0,0,3448,-4,0,0,0,0
1,1,0,3448,-4,0,0,0,0
1,0,0,3198,53,0,0,0,0
1,1,0,3198,54,0,0,0,0
1,0,0,898,-36,0,0,0,0
1,1,0,898,-36,0,0,0,0
1,0,0,2398,-29,0,0,0,0
1,1,0,2398,-30,0,0,0,0
1,0,0,1998,-31,0,0,0,0
1,1,0,1998,-31,0,0,0,0
1,0,0,2298,-15,0,0,0,0
1,1,0,2298,-15,0,0,0,0
1,0,0,2298,38,0,0,0,0
1,1,0,2298,38,0,0,0,0
1,0,0,448,35,0,0,0,0
1,1,0,448,35,0,0,0,0
1,0,0,3198,46,0,0,0,0
1,1,0,3198,46,0,0,0,0
1,0,0,2598,-13,0,0,0,0
1,1,0,2598,-13,0,0,0,0
1,0,0,1798,16,0,0,0,0
1,0,0,898,42,0,0,0,0
1,1,0,898,42,0,0,0,0
1,0,0,2948,-20,0,0,0,0
1,1,0,2948,-20,0,0,0,0
1,0,0,1798,-25,0,0,0,0
1,1,0,1798,-25,0,0,0,0
1,0,0,3098,24,0,0,0,0
1,0,0,598,-61,0,0,0,0
1,0,0,598,17,0,0,0,0
1,0,0,148,-54,0,0,0,0
1,1,0,148,-54,0,0,0,0
1,0,0,3298,-62,0,0,0,0
1,0,0,448,8,0,0,0,0
1,0,0,548,47,0,0,0,0
1,0,0,898,23,0,0,0,0
1,0,0,348,19,0,0,0,0
1,1,0,348,19,0,0,0,0
1,0,0,948,37,0,0,0,0
1,1,0,948,37,0,0,0,0
1,0,0,1398,23,0,0,0,0
1,1,0,1398,23,0,0,0,0
1,0,0,1848,53,0,0,0,0
1,0,0,1748,-28,0,0,0,0
1,1,0,1748,-28,0,0,0,0
1,0,0,3398,-40,0,0,0,0
1,1,0,3398,-40,0,0,0,0
1,0,0,898,-61,0,0,0,0
1,0,0,1548,-27,0,0,0,0
1,0,0,3548,13,0,0,0,0
1,1,0,3548,13,0,0,0,0
1,0,0,398,27,0,0,0,0
1,1,0,398,27,0,0,0,0
1,0,0,1648,-8,0,0,0,0
1,1,0,1648,-8,0,0,0,0
1,0,0,898,3,0,0,0,0
1,1,0,898,3,0,0,0,0
1,0,0,1498,18,0,0,0,0
1,0,0,1348,24,0,0,0,0
1,0,0,1598,-23,0,0,0,0
1,0,0,2198,48,0,0,0,0
1,1,0,2198,48,0,0,0,0
1,0,0,2848,-63,0,0,0,0
1,1,0,2848,-63,0,0,0,0
1,0,0,48,34,0,0,0,0
1,1,0,48,34,0,0,0,0
1,0,0,1898,50,0,0,0,0
1,1,0,1898,50,0,0,0,0
1,0,0,2848,-57,0,0,0,0
1,1,0,2848,-58,0,0,0,0
1,0,0,3148,-52,0,0,0,0
1,0,0,2598,-28,0,0,0,0
1,1,0,2598,-28,0,0,0,0
1,0,0,498,27,0,0,0,0
1,0,0,1848,-22,0,0,0,0
1,0,0,1898,-62,0,0,0,0
1,1,0,1898,-62,0,0,0,0
1,0,0,3348,32,0,0,0,0
1,1,0,3348,32,0,0,0,0
1,0,0,98,-39,0,0,0,0
1,0,0,3398,-28,0,0,0,0
1,1,0,3398,-28,0,0,0,0
1,0,0,2248,-9,0,0,0,0
1,1,0,2248,-9,0,0,0,0
1,0,0,3048,-61,0,0,0,0
1,0,0,12,-17,0,0,0,0
1,1,0,12,-17,0,0,0,0
1,0,0,898,-55,0,0,0,0
1,1,0,898,-55,0,0,0,0
1,0,0,1248,-34,0,0,0,0
1,1,0,1248,-34,0,0,0,0
1,0,0,998,-22,0,0,0,0
1,0,0,1748,-35,0,0,0,0
1,0,0,298,1,0,0,0,0
1,0,0,98,44,0,0,0,0
1,1,0,98,44,0,0,0,0
1,0,0,448,-47,0,0,0,0
1,0,0,2498,-10,0,0,0,0
1,1,0,2498,-12,0,0,0,0
1,0,0,498,-5,0,0,0,0
1,1,0,498,-5,0,0,0,0
1,0,0,2098,-10,0,0,0,0
1,1,0,2098,-10,0,0,0,0
1,0,0,2298,-36,0,0,0,0
1,1,0,2298,-36,0,0,0,0
1,0,0,3248,22,0,0,0,0
1,1,0,3248,22,0,0,0,0
1,0,0,2848,43,0,0,0,0
1,0,0,1298,-7,0,0,0,0
1,1,0,1298,-7,0,0,0,0
1,0,0,1848,23,0,0,0,0
1,1,0,1848,23,0,0,0,0
1,0,0,1148,-39,0,0,0,0
1,1,0,1148,-39,0,0,0,0
1,0,0,748,-48,0,0,0,0
1,0,0,748,12,0,0,0,0
1,1,0,748,12,0,0,0,0
1,0,0,48,-23,0,0,0,0
1,0,0,1948,-2,0,0,0,0
1,1,0,1948,-2,0,0,0,0
1,0,0,548,-57,0,0,0,0
1,0,0,848,36,0,0,0,0
1,1,0,848,36,0,0,0,0
1,0,0,1048,17,0,0,0,0
1,1,0,1048,17,0,0,0,0
1,0,0,1498,30,0,0,0,0
1,1,0,1498,30,0,0,0,0
1,0,0,2448,32,0,0,0,0
1,1,0,2448,32,0,0,0,0
1,0,0,1798,-6,0,0,0,0
1,1,0,1798,-6,0,0,0,0
1,0,0,798,48,0,0,0,0
1,1,0,798,48,0,0,0,0
1,0,0,1198,0,0,0,0,0
1,1,0,1198,0,0,0,0,0
1,0,0,1898,30,0,0,0,0
1,0,0,2648,15,0,0,0,0
1,0,0,2848,30,0,0,0,0
1,0,0,3398,-47,0,0,0,0
1,1,0,3398,-47,0,0,0,0
1,0,0,1198,-6,0,0,0,0
1,1,0,1198,-6,0,0,0,0
1,0,0,598,-39,0,0,0,0
1,0,0,598,60,0,0,0,0
1,0,0,398,-30,0,0,0,0
1,0,0,1098,48,0,0,0,0
1,1,0,1098,49,0,0,0,0
1,0,0,1698,31,0,0,0,0
1,0,0,1998,60,0,0,0,0
1,0,0,1798,-24,0,0,0,0
1,1,0,1798,-24,0,0,0,0
1,0,0,2198,12,0,0,0,0
1,0,0,48,-35,0,0,0,0
1,0,0,848,-15,0,0,0,0
1,1,0,848,-15,0,0,0,0
1,0,0,2348,-55,0,0,0,0
1,0,0,798,-8,0,0,0,0
1,0,0,2648,48,0,0,0,0
1,0,0,2548,42,0,0,0,0
1,1,0,2548,42,0,0,0,0
1,0,0,348,34,0,0,0,0
1,0,0,2348,1,0,0,0,0
1,0,0,2598,-1,0,0,0,0
1,0,0,2798,-43,0,0,0,0
1,1,0,2798,-43,0,0,0,0
1,0,0,98,46,0,0,0,0
1,1,0,98,46,0,0,0,0
1,0,0,498,48,0,0,0,0
1,1,0,498,48,0,0,0,0
1,0,0,1898,17,0,0,0,0
1,1,0,1898,17,0,0,0,0
1,0,0,1798,-31,0,0,0,0
1,1,0,1798,-31,0,0,0,0
1,0,0,3348,-60,0,0,0,0
1,0,0,3548,47,0,0,0,0
1,1,0,3548,47,0,0,0,0
1,0,0,1398,-7,0,0,0,0
1,0,0,548,8,0,0,0,0
1,1,0,548,8,0,0,0,0
1,0,0,1348,-8,0,0,0,0
1,1,0,1348,-8,0,0,0,0
1,0,0,2448,51,0,0,0,0
1,1,0,2448,51,0,0,0,0
1,0,0,598,-14,0,0,0,0
1,0,0,1298,-5,0,0,0,0
1,1,0,1298,-5,0,0,0,0
1,0,0,1398,-15,0,0,0,0
1,1,0,1398,-15,0,0,0,0
1,0,0,48,-33,0,0,0,0
1,1,0,48,-33,0,0,0,0
1,0,0,1798,-44,0,0,0,0
1,1,0,1798,-44,0,0,0,0
1,0,0,1098,-18,0,0,0,0
1,1,0,1098,-18,0,0,0,0
1,0,0,1548,50,0,0,0,0
1,1,0,1548,52,0,0,0,0
1,0,0,2598,-19,0,0,0,0
1,0,0,3148,-33,0,0,0,0
1,0,0,2548,-15,0,0,0,0
1,0,0,2998,-49,0,0,0,0
1,1,0,2998,-49,0,0,0,0
1,0,0,648,25,0,0,0,0
1,0,0,798,52,0,0,0,0
1,0,0,298,-25,0,0,0,0
1,1,0,298,-25,0,0,0,0
1,0,0,598,-18,0,0,0,0
1,1,0,598,-18,0,0,0,0
1,0,0,1948,34,0,0,0,0
1,1,0,1948,34,0,0,0,0
1,0,0,1798,22,0,0,0,0
1,1,0,1798,22,0,0,0,0
1,0,0,1898,8,0,0,0,0
1,1,0,1898,8,0,0,0,0
1,0,0,1448,26,0,0,0,0
1,1,0,1448,26,0,0,0,0
1,0,0,2698,-35,0,0,0,0
1,0,0,3348,5,0,0,0,0
1,0,0,1248,-53,0,0,0,0
1,1,0,1248,-53,0,0,0,0
1,0,0,2248,-16,0,0,0,0
1,0,0,98,-46,0,0,0,0
1,0,0,1348,-31,0,0,0,0
1,1,0,1348,-31,0,0,0,0
1,0,0,1548,-2,0,0,0,0
1,1,0,1548,-2,0,0,0,0
