ToA,coarse_time,fine_time,Local_Tube_Number,Tube_Number,Tube_Layer,ChamberId,Chamber_iEta,Station_Type,tube_z,tube_rho,drift_time,event,muonFixedId,csm,mezz,channel,t0,TOF
4609,144,1,53,53,7,15,4,0,7795,6311,0.324463,3,241188788,0,17,0,542.5,33.456757
4651,145,11,46,46,2,15,4,0,7540,6101,34.239563,3,241188141,0,14,6,542.5,32.354176
4682,146,10,46,46,1,15,4,0,7513,6086,58.557251,3,241188013,0,14,12,542.5,32.255222
4757,148,21,53,53,6,15,4,0,7769,6296,116.048462,3,241188660,0,17,6,542.5,33.357807
4821,150,21,47,47,3,15,4,0,7566,6116,166.953125,3,241188270,0,14,2,542.5,32.453136
4852,151,20,45,45,0,15,4,0,7487,6071,191.46875,3,241187884,0,14,23,542.5,32.156273
4926,153,30,51,51,4,15,4,0,7717,6236,248.340637,3,241188402,0,17,22,542.5,33.096867
5012,156,20,52,52,5,15,4,0,7743,6281,315.36615,3,241188531,0,17,14,542.5,33.258865
5347,167,3,51,51,5,15,4,0,7743,6251,577.147888,3,241188530,0,17,16,542.5,33.195839
21957,686,5,53,53,7,15,4,0,7795,6311,3.449463,55,241188788,0,17,0,542.5,33.456757
21992,687,8,46,46,1,15,4,0,7513,6086,31.994751,55,241188013,0,14,12,542.5,32.255222
22021,688,5,46,46,2,15,4,0,7540,6101,54.552063,55,241188141,0,14,6,542.5,32.354176
22075,689,27,53,53,6,15,4,0,7769,6296,95.735962,55,241188660,0,17,6,542.5,33.357807
22150,692,6,45,45,0,15,4,0,7487,6071,155.53125,55,241187884,0,14,23,542.5,32.156273
22194,693,18,47,47,3,15,4,0,7566,6116,189.609375,55,241188270,0,14,2,542.5,32.453136
22307,697,3,52,52,5,15,4,0,7743,6281,277.0849,55,241188531,0,17,14,542.5,33.258865
22308,697,4,51,51,4,15,4,0,7717,6236,278.028137,55,241188402,0,17,22,542.5,33.096867
22750,710,30,52,52,4,15,4,0,7717,6266,623.277588,55,241188403,0,17,20,542.5,33.159931
22756,711,4,51,51,5,15,4,0,7743,6251,627.929138,55,241188530,0,17,16,542.5,33.195839
38343,1198,7,53,53,2,15,4,0,7540,6311,5.668884,71,241188148,0,16,8,542.5,32.799866
38408,1200,8,53,53,1,15,4,0,7513,6296,56.548828,71,241188020,0,16,14,542.5,32.701187
38480,1202,16,54,54,3,15,4,0,7566,6326,112.60144,71,241188277,0,16,4,542.5,32.898556
38779,1211,27,52,52,0,15,4,0,7487,6281,346.491211,71,241187891,0,16,18,542.5,32.602516
38903,1215,23,51,51,0,15,4,0,7487,6251,443.430542,71,241187890,0,16,23,542.5,32.538216
39057,1220,17,54,54,2,15,4,0,7540,6341,563.416992,71,241188149,0,16,10,542.5,32.864265
43961,1373,25,50,50,1,15,4,0,7513,6206,-4.977722,77,241188017,0,16,13,542.5,32.508957
44103,1378,7,50,50,2,15,4,0,7540,6221,105.861023,77,241188145,0,16,7,542.5,32.607754
44114,1378,18,49,49,0,15,4,0,7487,6191,114.652344,77,241187888,0,16,19,542.5,32.410164
44326,1385,6,51,51,3,15,4,0,7566,6236,279.980957,77,241188274,0,16,5,542.5,32.706562
44620,1394,12,52,52,3,15,4,0,7566,6266,509.604614,77,241188275,0,16,0,542.5,32.770378
64480,2015,0,54,54,2,15,4,0,7540,6341,125.135742,89,241188149,0,16,10,542.5,32.864265
64559,2017,15,52,52,0,15,4,0,7487,6281,187.116211,89,241187891,0,16,18,542.5,32.602516
64798,2024,30,54,54,1,15,4,0,7513,6326,373.671875,89,241188021,0,16,16,542.5,32.765625
64951,2029,23,53,53,1,15,4,0,7513,6296,493.267578,89,241188020,0,16,14,542.5,32.701187
92144,2879,16,43,43,2,15,4,0,7540,6011,13.334045,65,241188138,0,14,9,542.5,32.165955
92148,2879,20,50,50,7,15,4,0,7795,6221,15.356567,65,241188785,0,17,3,542.5,33.26844
92243,2882,19,44,44,3,15,4,0,7566,6026,90.578735,65,241188267,0,14,1,542.5,32.265026
92285,2883,29,43,43,1,15,4,0,7513,5996,123.589355,65,241188010,0,14,15,542.5,32.066891
92292,2884,4,50,50,6,15,4,0,7769,6206,127.955627,65,241188657,0,17,9,542.5,33.169384
92378,2886,26,48,48,4,15,4,0,7717,6146,195.403748,65,241188399,0,15,19,542.5,32.908775
92565,2892,21,42,42,0,15,4,0,7487,5981,342.438416,65,241187881,0,12,22,542.5,31.967831
92597,2893,21,49,49,5,15,4,0,7743,6191,366.335938,65,241188528,0,17,17,542.5,33.070332
92771,2899,3,48,48,5,15,4,0,7743,6161,502.335876,65,241188527,0,15,13,542.5,33.007854
92810,2900,10,41,41,0,15,4,0,7487,5951,533.907104,65,241187880,0,12,20,542.5,31.905397
115209,3600,9,29,69,4,16,2,3,11425,8620,142.289856,42,256917148,2,6,14,542.5,47.741394
118870,3714,22,8,48,3,16,2,3,11399,7974,3.782776,41,256916999,2,0,2,542.5,46.404697
118884,3715,4,10,50,0,16,2,3,11194,8035,15.159729,41,256916489,2,3,3,542.5,45.96526
118895,3715,15,10,50,1,16,2,3,11221,8050,23.653809,41,256916617,2,3,11,542.5,46.064957
118909,3715,29,6,46,1,16,2,3,11221,7929,34.82373,41,256916613,2,1,12,542.5,45.832512
118916,3716,4,4,44,2,16,2,3,11247,7854,40.365479,41,256916739,2,1,23,542.5,45.759525
118923,3716,11,9,49,2,16,2,3,11247,8004,45.545593,41,256916744,2,3,17,542.5,46.048176
118941,3716,29,7,47,3,16,2,3,11399,7944,59.308899,41,256916998,2,0,4,542.5,46.34734
118947,3717,3,9,49,1,16,2,3,11221,8019,64.337097,41,256916616,2,3,9,542.5,46.006626
118959,3717,15,6,46,3,16,2,3,11399,7914,73.42865,41,256916997,2,0,0,542.5,46.290127
118966,3717,22,10,50,2,16,2,3,11247,8035,79.081177,41,256916745,2,3,19,542.5,46.106342
119000,3718,24,7,47,1,16,2,3,11221,7959,105.859619,41,256916614,2,1,10,542.5,45.890404
119139,3723,3,5,45,1,16,2,3,11221,7899,214.56897,41,256916612,2,1,14,542.5,45.774765
119301,3728,5,8,48,2,16,2,3,11247,7974,340.916077,41,256916743,2,1,16,542.5,45.990154
119387,3730,27,9,49,0,16,2,3,11194,8004,408.186829,41,256916488,2,3,1,542.5,45.906914
119480,3733,24,8,48,1,16,2,3,11221,7989,480.801575,41,256916615,2,1,8,542.5,45.948444
119487,3733,31,5,45,2,16,2,3,11247,7884,486.401794,41,256916740,2,1,22,542.5,45.816963
121731,3804,3,44,44,1,15,4,0,7513,6026,28.214294,104,241188011,0,14,13,542.5,32.129475
121750,3804,22,51,51,7,15,4,0,7795,6251,41.856445,104,241188786,0,17,4,542.5,33.331028
121768,3805,8,51,51,6,15,4,0,7769,6236,56.018005,104,241188658,0,17,10,542.5,33.232006
121782,3805,22,44,44,2,15,4,0,7540,6041,67.958984,104,241188139,0,14,7,542.5,32.228504
121885,3808,29,43,43,0,15,4,0,7487,6011,148.625793,104,241187882,0,14,19,542.5,32.030457
121956,3811,4,50,50,5,15,4,0,7743,6221,202.992004,104,241188529,0,17,15,542.5,33.132992
121984,3812,0,45,45,3,15,4,0,7566,6056,225.672485,104,241188268,0,14,5,542.5,32.327541
122175,3817,31,49,49,4,15,4,0,7717,6176,374.247437,104,241188400,0,17,23,542.5,32.971287
122338,3823,2,50,50,4,15,4,0,7717,6206,501.528503,104,241188401,0,17,21,542.5,33.033985
122438,3826,6,51,51,5,15,4,0,7743,6251,579.491638,104,241188530,0,17,16,542.5,33.195839
127895,3996,23,47,47,2,15,4,0,7540,6131,18.551453,125,241188142,0,14,8,542.5,32.41729
127908,3997,4,54,54,7,15,4,0,7795,6341,27.605103,125,241188789,0,17,1,542.5,33.519894
127968,3999,0,54,54,6,15,4,0,7769,6326,74.579041,125,241188661,0,17,7,542.5,33.420982
127972,3999,4,47,47,1,15,4,0,7513,6116,78.806641,125,241188014,0,14,14,542.5,32.318375
128050,4001,18,48,48,3,15,4,0,7566,6146,139.546265,125,241188271,0,14,4,542.5,32.516216
128188,4005,28,46,46,0,15,4,0,7487,6101,247.655518,125,241187885,0,14,18,542.5,32.219467
128194,4006,2,53,53,5,15,4,0,7743,6311,251.240417,125,241188532,0,17,12,542.5,33.322079
128247,4007,23,52,52,4,15,4,0,7717,6266,292.808838,125,241188403,0,17,20,542.5,33.159931
128632,4019,24,53,53,4,15,4,0,7717,6296,593.526794,125,241188404,0,17,18,542.5,33.223179
128719,4022,15,45,45,0,15,4,0,7487,6071,662.5625,125,241187884,0,14,23,542.5,32.156273
128746,4023,10,52,52,5,15,4,0,7743,6281,682.55365,125,241188531,0,17,14,542.5,33.258865
129202,4037,18,53,53,0,15,4,0,7487,6311,39.395508,110,241187892,0,16,20,542.5,32.666996
129231,4038,15,54,54,1,15,4,0,7513,6326,61.953125,110,241188021,0,16,16,542.5,32.765625
129441,4045,1,54,54,2,15,4,0,7540,6341,225.916992,110,241188149,0,16,10,542.5,32.864265
